method,tissue,standardized_mse,raw_mse,selected_coupling,fit_seconds,train,validation,test,response,test_fold,cv_repeat,standardized_sse,raw_sse
COVER,brain_caudate_basal_ganglia,0.1591951697918663,0.0410827244405259,0.1,20.465119944885373,147,47,52,JAM2,0,0,8.278148829177047,2.136301670907347
COVER,brain_cerebellar_hemisphere,0.1090887204062208,0.0330954267343813,0.1,20.465119944885373,129,42,44,JAM2,0,0,4.799903697873715,1.4561987763127773
COVER,brain_cerebellum,0.1307966760312318,0.0312817369008829,0.1,20.465119944885373,142,46,53,JAM2,0,0,6.932223829655285,1.6579320557467938
COVER,brain_cortex,0.4327318925387974,0.0828253774593733,0.1,20.465119944885373,150,49,56,JAM2,0,0,24.232985982172654,4.638221137724905
COVER,brain_frontal_cortex_ba9,0.2538585208585048,0.0424826620629153,0.1,20.465119944885373,123,44,42,JAM2,0,0,10.662057876057201,1.7842718066424428
COVER,brain_hypothalamus,0.3292863761903755,0.0840448433850366,0.1,20.465119944885373,121,39,42,JAM2,0,0,13.83002779999577,3.5298834221715367
COVER,brain_nucleus_accumbens_basal_ganglia,0.2755044820993594,0.0765847981749137,0.1,20.465119944885373,152,50,44,JAM2,0,0,12.122197212371814,3.369731119696203
COVER,brain_putamen_basal_ganglia,0.1801858436702746,0.0460250355200135,0.1,20.465119944885373,119,44,42,JAM2,0,0,7.567805434151533,1.9330514918405672
COVER,brain_spinal_cord_cervical_c-1,0.1647307370764084,0.1039710767398027,0.1,20.465119944885373,95,27,37,JAM2,0,0,6.095037271827111,3.8469298393727
Pool,brain_amygdala,0.5409053514699665,0.1309424658340806,0.0,6.84796966612339,92,32,28,JAM2,1,0,15.145349841159064,3.6663890433542567
Pool,brain_anterior_cingulate_cortex_ba24,0.3669135649683773,0.0678863261097549,0.0,6.84796966612339,104,38,34,JAM2,1,0,12.475061208924828,2.3081350877316664
Pool,brain_caudate_basal_ganglia,0.2585177924289315,0.0645530020798219,0.0,6.84796966612339,150,49,47,JAM2,1,0,12.150336244159782,3.0339910977516293
Pool,brain_cerebellar_hemisphere,0.1490846440779547,0.0441641284503868,0.0,6.84796966612339,131,42,42,JAM2,1,0,6.2615550512740965,1.8548933949162456
Pool,brain_cerebellum,0.2023558817502751,0.0534542306624192,0.0,6.84796966612339,152,43,46,JAM2,1,0,9.308370560512655,2.458894610471283
Pool,brain_cortex,0.4945473502632981,0.0836036079124455,0.0,6.84796966612339,158,48,49,JAM2,1,0,24.232820162901607,4.09657678770983
Pool,brain_frontal_cortex_ba9,0.5998504937770224,0.1019659968483462,0.0,6.84796966612339,128,37,44,JAM2,1,0,26.393421726188983,4.486503861327233
Pool,brain_hypothalamus,0.4086843159937772,0.1196000767070435,0.0,6.84796966612339,124,39,39,JAM2,1,0,15.93868832375731,4.664402991574697
Pool,brain_nucleus_accumbens_basal_ganglia,0.2447002137945222,0.0724858605579793,0.0,6.84796966612339,146,50,50,JAM2,1,0,12.23501068972611,3.624293027898965
Pool,brain_putamen_basal_ganglia,0.1293828927114098,0.0373489313491972,0.0,6.84796966612339,121,40,44,JAM2,1,0,5.692847279302031,1.6433529793646768
Pool,brain_spinal_cord_cervical_c-1,0.2635449699435509,0.1277562554971599,0.0,6.84796966612339,103,29,27,JAM2,1,0,7.115714188475875,3.4494188984233176
STL,brain_amygdala,0.6529515135624652,0.15806662112625,0.0,20.00376621633768,92,32,28,JAM2,1,0,18.282642379749024,4.425865391535
STL,brain_anterior_cingulate_cortex_ba24,0.466423525384697,0.0862976531060007,0.0,20.00376621633768,104,38,34,JAM2,1,0,15.858399863079699,2.9341202056040236
STL,brain_caudate_basal_ganglia,0.1988479518983169,0.049653186853625,0.0,20.00376621633768,150,49,47,JAM2,1,0,9.345853739220894,2.333699782120375
STL,brain_cerebellar_hemisphere,0.1275234878852711,0.0377769537180608,0.0,20.00376621633768,131,42,42,JAM2,1,0,5.355986491181386,1.5866320561585536
STL,brain_cerebellum,0.1392889818120468,0.0367945092483309,0.0,20.00376621633768,152,43,46,JAM2,1,0,6.4072931633541526,1.6925474254232213
STL,brain_cortex,0.4521428943993449,0.0764351022073738,0.0,20.00376621633768,158,48,49,JAM2,1,0,22.1550018255679,3.7453200081613165
STL,brain_frontal_cortex_ba9,0.4570272296414526,0.0776880865160235,0.0,20.00376621633768,128,37,44,JAM2,1,0,20.109198104223914,3.4182758067050343
STL,brain_hypothalamus,0.3826806193765231,0.1119901832308827,0.0,20.00376621633768,124,39,39,JAM2,1,0,14.924544155684401,4.3676171460044255
STL,brain_nucleus_accumbens_basal_ganglia,0.4168086285510742,0.1234683519887964,0.0,20.00376621633768,146,50,50,JAM2,1,0,20.84043142755371,6.17341759943982
STL,brain_putamen_basal_ganglia,0.1141776018202065,0.0329596233522982,0.0,20.00376621633768,121,40,44,JAM2,1,0,5.0238144800890865,1.4502234275011208
STL,brain_spinal_cord_cervical_c-1,0.2145123014278399,0.1039871426662739,0.0,20.00376621633768,103,29,27,JAM2,1,0,5.791832138551677,2.8076528519893955
MMoE,brain_amygdala,0.7113712075166345,0.1722088712608487,0.0,23.657655240036547,92,32,28,JAM2,1,0,19.918393810465766,4.821848395303763
MMoE,brain_anterior_cingulate_cortex_ba24,0.6567368814996835,0.1215094190088977,0.0,23.657655240036547,104,38,34,JAM2,1,0,22.329053970989236,4.131320246302522
MMoE,brain_caudate_basal_ganglia,0.202590698587041,0.050587766762077,0.0,23.657655240036547,150,49,47,JAM2,1,0,9.521762833590927,2.377625037817619
MMoE,brain_cerebellar_hemisphere,0.1118078736287219,0.0331214346269058,0.0,23.657655240036547,131,42,42,JAM2,1,0,4.6959306924063196,1.3911002543300437
MMoE,brain_cerebellum,0.1917362455479168,0.0506489527619112,0.0,23.657655240036547,152,43,46,JAM2,1,0,8.819867295204173,2.329851827047915
MMoE,brain_cortex,0.4799614862770902,0.0811378564467508,0.0,23.657655240036547,158,48,49,JAM2,1,0,23.51811282757742,3.975754965890789
MMoE,brain_frontal_cortex_ba9,0.4861452554393007,0.082637734065763,0.0,23.657655240036547,128,37,44,JAM2,1,0,21.39039123932923,3.6360602988935717
MMoE,brain_hypothalamus,0.3890108631643603,0.1138427075705032,0.0,23.657655240036547,124,39,39,JAM2,1,0,15.171423663410051,4.439865595249625
MMoE,brain_nucleus_accumbens_basal_ganglia,0.345196565537242,0.102255203322532,0.0,23.657655240036547,146,50,50,JAM2,1,0,17.2598282768621,5.1127601661266
MMoE,brain_putamen_basal_ganglia,0.1081445827562963,0.0312180730582498,0.0,23.657655240036547,121,40,44,JAM2,1,0,4.7583616412770375,1.3735952145629913
MMoE,brain_spinal_cord_cervical_c-1,0.1815885849011418,0.0880270173737978,0.0,23.657655240036547,103,29,27,JAM2,1,0,4.902891792330829,2.3767294690925405
HPS,brain_amygdala,0.6786610596929369,0.1642903927281584,0.0,8.308470159769058,92,32,28,JAM2,1,0,19.002509671402233,4.600130996388435
HPS,brain_anterior_cingulate_cortex_ba24,0.5551292069593883,0.1027099730693865,0.0,8.308470159769058,104,38,34,JAM2,1,0,18.874393036619203,3.4921390843591413
HPS,brain_caudate_basal_ganglia,0.1909777119831184,0.0476879541752817,0.0,8.308470159769058,150,49,47,JAM2,1,0,8.975952463206564,2.24133384623824
HPS,brain_cerebellar_hemisphere,0.0974665528674868,0.0288730297280337,0.0,8.308470159769058,131,42,42,JAM2,1,0,4.0935952204344455,1.2126672485774155
HPS,brain_cerebellum,0.131492477712647,0.0347349885421123,0.0,8.308470159769058,152,43,46,JAM2,1,0,6.048653974781762,1.597809472937166
HPS,brain_cortex,0.4842035897005854,0.081854987275888,0.0,8.308470159769058,158,48,49,JAM2,1,0,23.725975895328684,4.010894376518512
HPS,brain_frontal_cortex_ba9,0.4998185598171052,0.0849620000713053,0.0,8.308470159769058,128,37,44,JAM2,1,0,21.99201663195263,3.7383280031374335
HPS,brain_hypothalamus,0.4220501983930002,0.1235115567850524,0.0,8.308470159769058,124,39,39,JAM2,1,0,16.459957737327006,4.816950714617044
HPS,brain_nucleus_accumbens_basal_ganglia,0.3054665707501228,0.0904862603475714,0.0,8.308470159769058,146,50,50,JAM2,1,0,15.27332853750614,4.52431301737857
HPS,brain_putamen_basal_ganglia,0.1263791655147638,0.0364818460761118,0.0,8.308470159769058,121,40,44,JAM2,1,0,5.560683282649608,1.6052012273489193
