cv_repeat,response,method,task_balanced_standardized_mse,task_balanced_raw_mse,tissues
13,JAM2,HPS,0.3029663089967078,0.07261346578471643,11
13,JAM2,MMoE,0.30921133625611474,0.07555210809643284,11
13,JAM2,Pool,0.32405094525597744,0.07718391020470643,11
13,JAM2,STL,0.31581541845437894,0.07550913887605591,11
13,SH2D2A,ARMUL,0.6393301478445809,0.055702538928739435,11
13,SH2D2A,COVER,0.6466745431354594,0.056401496526417995,11
13,SH2D2A,FLARCC,0.6644593561050892,0.05787629619733345,11
13,SH2D2A,HPS,0.6544940035385328,0.05678788792867673,11
13,SH2D2A,MMoE,0.7839094649150637,0.06599759169280443,11
13,SH2D2A,Pool,0.6706096507755865,0.05841450085128974,11
13,SH2D2A,STL,0.7473295662100091,0.06460600598138873,11
14,JAM2,ARMUL,0.2710830110929743,0.06530964455653912,11
14,JAM2,COVER,0.2705955492948475,0.06520738830636791,11
14,JAM2,FLARCC,0.2739838503706279,0.06596322004322469,11
14,JAM2,HPS,0.2757691395217863,0.06636111623911067,11
14,JAM2,MMoE,0.31595712926655417,0.07543107561826828,11
14,JAM2,Pool,0.3068968060803825,0.07430397824885034,11
14,JAM2,STL,0.3163626052943396,0.07560228666256096,11
14,SH2D2A,ARMUL,0.6884590624006369,0.05955955700300953,11
14,SH2D2A,COVER,0.683674785026014,0.05878159127218793,11
14,SH2D2A,FLARCC,0.6911125157974667,0.059870051768853356,11
14,SH2D2A,HPS,0.6954361139811337,0.059806602806863965,11
14,SH2D2A,MMoE,0.7141675920212222,0.06175377508212731,11
14,SH2D2A,Pool,0.6724919443795071,0.057738934634934,11
14,SH2D2A,STL,0.7833948813620409,0.06710024610181832,11
15,JAM2,ARMUL,0.28587500427048956,0.06794335582652244,11
15,JAM2,COVER,0.28074828634505267,0.06601845908416909,11
15,JAM2,FLARCC,0.2874730143669238,0.06831788598671946,11
15,JAM2,HPS,0.28402222113143555,0.06698910555507265,11
15,JAM2,MMoE,0.3243315244243649,0.07605973315191074,11
15,JAM2,Pool,0.33263867515052775,0.07917209297599449,11
15,JAM2,STL,0.3225106313013384,0.076719335003188,11
15,SH2D2A,ARMUL,0.6855102009776158,0.05396129253783921,11
15,SH2D2A,COVER,0.7067994368714813,0.055325384259508344,11
15,SH2D2A,FLARCC,0.6920037228896487,0.05438794274003245,11
15,SH2D2A,HPS,0.7059357593017631,0.055141805200709305,11
15,SH2D2A,MMoE,0.8095580393033172,0.06277360769880445,11
15,SH2D2A,Pool,0.7322935296121501,0.05724483279767668,11
15,SH2D2A,STL,0.8927509306444505,0.06551105805781625,11
16,JAM2,ARMUL,0.27448626563034595,0.06728375967652694,11
16,JAM2,COVER,0.2735978159516571,0.06662434288485979,11
16,JAM2,FLARCC,0.2790041511392025,0.0686776580276157,11
16,JAM2,HPS,0.27728701826434937,0.06743423166510204,11
16,JAM2,MMoE,0.2927541740021555,0.0707450033424367,11
16,JAM2,Pool,0.31080587294781625,0.07535323126760538,11
16,JAM2,STL,0.3175556690153592,0.07667239893094131,11
16,SH2D2A,ARMUL,0.6585014722163289,0.05650535815003062,11
16,SH2D2A,COVER,0.6963174506588675,0.058880565831898754,11
16,SH2D2A,FLARCC,0.6715915359264927,0.05776527948183013,11
16,SH2D2A,HPS,0.7039992919833384,0.059519669364997065,11
16,SH2D2A,MMoE,0.7202375537745979,0.06203942376109062,11
16,SH2D2A,Pool,0.6501020079138936,0.05708476020800739,11
16,SH2D2A,STL,0.7564221646675885,0.06462840231582483,11
17,JAM2,ARMUL,0.2830221456670517,0.0666370388189398,11
