cv_repeat,response,method,tissue,standardized_sse,raw_sse,test_samples,standardized_mse,raw_mse
0,JAM2,FLARCC,brain_hypothalamus,78.16947134178808,22.810796299629917,202,0.386977580899941,0.11292473415658374
0,JAM2,FLARCC,brain_nucleus_accumbens_basal_ganglia,67.46041867783843,20.23106988996416,246,0.2742293442188554,0.08224012150391935
0,JAM2,FLARCC,brain_putamen_basal_ganglia,40.40605177887018,9.357814990133882,205,0.19710269160424476,0.045647878000653085
0,JAM2,FLARCC,brain_spinal_cord_cervical_c-1,27.517273444846513,15.191220365726682,159,0.1730646128606699,0.0955422664511112
0,JAM2,HPS,brain_amygdala,47.432405761839846,13.15284396886803,152,0.31205530106473583,0.08653186821623704
0,JAM2,HPS,brain_anterior_cingulate_cortex_ba24,75.54943571440772,12.99169385996729,176,0.4292581574682257,0.07381644238617778
0,JAM2,HPS,brain_caudate_basal_ganglia,55.627678003838,13.301268831955465,246,0.2261287723733252,0.054070198503884004
0,JAM2,HPS,brain_cerebellar_hemisphere,30.38140396555574,8.893499620772479,215,0.14130885565374762,0.04136511451522083
0,JAM2,HPS,brain_cerebellum,48.94570966658714,10.779547091736013,241,0.20309423098168938,0.0447284111690291
0,JAM2,HPS,brain_cortex,108.42335479781363,20.713162650626536,255,0.4251896266580927,0.08122808882598642
0,JAM2,HPS,brain_frontal_cortex_ba9,99.38366013121089,15.278778522164739,209,0.4755199049340234,0.07310420345533368
0,JAM2,HPS,brain_hypothalamus,77.57674657140652,22.63996818154739,202,0.3840432998584481,0.11207905040369995
0,JAM2,HPS,brain_nucleus_accumbens_basal_ganglia,65.48299705007781,19.642442122164855,246,0.2661910449190155,0.07984732569985714
0,JAM2,HPS,brain_putamen_basal_ganglia,39.94878236745941,9.235302525246645,205,0.1948721091095581,0.045050256220715346
0,JAM2,HPS,brain_spinal_cord_cervical_c-1,26.50724412402594,14.652014579715752,159,0.1667122271951317,0.0921510350925519
0,JAM2,MMoE,brain_amygdala,53.99717392346312,14.97615421707027,152,0.3552445652859416,0.09852733037546231
0,JAM2,MMoE,brain_anterior_cingulate_cortex_ba24,77.40402369339073,13.35501617213114,176,0.43979558916699274,0.07588077370529057
0,JAM2,MMoE,brain_caudate_basal_ganglia,58.950282882032454,14.125021248279793,246,0.2396352962684246,0.05741878556211298
0,JAM2,MMoE,brain_cerebellar_hemisphere,29.364142042843437,8.637256107295542,215,0.1365774048504346,0.04017328421997927
0,JAM2,MMoE,brain_cerebellum,70.17933253288058,15.391815449426447,241,0.29120054992896505,0.06386645414699771
0,JAM2,MMoE,brain_cortex,115.48876018604774,22.179127521527615,255,0.4528970987688147,0.08697697067265732
0,JAM2,MMoE,brain_frontal_cortex_ba9,97.90033295028753,15.059078517419527,209,0.4684226456951557,0.07205300726038051
0,JAM2,MMoE,brain_hypothalamus,76.82583212177505,22.15311293390469,202,0.38032590159294577,0.10966887591041927
0,JAM2,MMoE,brain_nucleus_accumbens_basal_ganglia,73.37662971561082,22.050862985501134,246,0.2982789825837838,0.08963765441260624
0,JAM2,MMoE,brain_putamen_basal_ganglia,44.216208079987375,10.264670309368682,205,0.21568881990237743,0.05007156248472528
0,JAM2,MMoE,brain_spinal_cord_cervical_c-1,24.045826880219455,13.374494986623608,159,0.1512316155988645,0.08411632067058873
0,JAM2,Pool,brain_amygdala,45.41514036902232,12.749160330844148,152,0.2987838182172521,0.08387605480818519
0,JAM2,Pool,brain_anterior_cingulate_cortex_ba24,76.48903517578395,13.023231528374497,176,0.43459679077149976,0.073995633683946
0,JAM2,Pool,brain_caudate_basal_ganglia,66.37326224492118,15.976910813051905,246,0.26981000912569586,0.06494679192297523
0,JAM2,Pool,brain_cerebellar_hemisphere,40.955914911656926,11.958375405903702,215,0.19049262749607873,0.0556203507251335
0,JAM2,Pool,brain_cerebellum,71.92386121661332,15.858732053396217,241,0.2984392581602212,0.06580386744147808
0,JAM2,Pool,brain_cortex,113.16014574640768,21.51564108181626,255,0.44376527743689287,0.08437506306594611
0,JAM2,Pool,brain_frontal_cortex_ba9,99.64129612824037,15.32508687357907,209,0.4767526130537817,0.07332577451473239
0,JAM2,Pool,brain_hypothalamus,71.29070424310736,20.870685278090242,202,0.35292427843122454,0.1033202241489616
0,JAM2,Pool,brain_nucleus_accumbens_basal_ganglia,71.02159859197843,21.38199202283097,246,0.28870568533324564,0.08691866675947549
0,JAM2,Pool,brain_putamen_basal_ganglia,46.70744183715246,10.751416651130743,205,0.22784117969342663,0.0524459348835646
0,JAM2,Pool,brain_spinal_cord_cervical_c-1,32.63931562082904,18.271559142665062,159,0.20527871459640903,0.11491546630606957
0,JAM2,STL,brain_amygdala,45.47503297933456,12.66326279242409,152,0.2991778485482537,0.0833109394238427
0,JAM2,STL,brain_anterior_cingulate_cortex_ba24,90.0273799121494,15.349705908415121,176,0.5115192040463034,0.087214238115995
0,JAM2,STL,brain_caudate_basal_ganglia,64.80332588931006,15.515173353096781,246,0.2634281540215856,0.0630698103784422
0,JAM2,STL,brain_cerebellar_hemisphere,31.59601041994953,9.291861744153152,215,0.14695818799976526,0.04321796160071233
0,JAM2,STL,brain_cerebellum,51.63507642794734,11.336702951453308,241,0.21425342916160722,0.04704026120934983
0,JAM2,STL,brain_cortex,109.71395846081228,21.01847424542088,255,0.4302508174933815,0.08242538919772895
0,JAM2,STL,brain_frontal_cortex_ba9,104.47603661790009,16.141729226017613,209,0.49988534266937845,0.07723315419147184
0,JAM2,STL,brain_hypothalamus,70.25398865433719,20.319623854298886,202,0.3477920230412732,0.10059219729850934
0,JAM2,STL,brain_nucleus_accumbens_basal_ganglia,82.69850713967296,24.797201171550917,246,0.3361727932507031,0.10080163077866226
0,JAM2,STL,brain_putamen_basal_ganglia,50.27414868146947,11.655840549850833,205,0.24523974966570472,0.05685775877976016
0,JAM2,STL,brain_spinal_cord_cervical_c-1,26.53701170896761,14.455023166463551,159,0.16689944471048812,0.09091209538656321
0,SH2D2A,ARMUL,brain_amygdala,192.11050023094305,14.11672347836244,152,1.2638848699404148,0.09287318077870026
0,SH2D2A,ARMUL,brain_anterior_cingulate_cortex_ba24,174.23834991730763,14.392380392471845,176,0.989990624530157,0.08177488859359003
0,SH2D2A,ARMUL,brain_caudate_basal_ganglia,145.70195534460456,12.896551537021852,246,0.5922843713195307,0.05242500624805631
0,SH2D2A,ARMUL,brain_cerebellar_hemisphere,135.25531967314365,3.9324991376394896,215,0.6290945101076448,0.018290693663439488
0,SH2D2A,ARMUL,brain_cerebellum,129.55181814847595,8.02924163209003,241,0.5375594114044645,0.033316355319875646
0,SH2D2A,ARMUL,brain_cortex,119.7564484181164,10.751980747431963,255,0.4696331310514369,0.04216463038208613
0,SH2D2A,ARMUL,brain_frontal_cortex_ba9,92.72444217685765,9.379804457797617,209,0.4436576180710892,0.04487944716649577
